# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 2000, 'nu': 82, 'N_nmda': 10, 'nu_nmda': 10}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
N,v_steady,g_e_steady,g_i_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_e_mean,g_e_var,g_i_mean,g_i_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
1,-69.87462719276942380020,0.00819999999999996773,0.00000000000000000000,0.03665634209091486739,0.19999999999999945599,0.90909090909089884658,-69.87415575259156241827,0.03673504396800753719,0.00811476236885123881,0.00020746574518810983,0.00000000000000000000,0.00000000000000000000,0.03513512363103601238,0.00000973201848391470,0.19863033958770270893,0.10032344980872168194,0.87150898970471901706,0.00598284820052083412,0.00000000000000000000,0,,,
2,-69.85161749017801469108,0.01639999999999993546,0.00000000000000000000,0.03670632565009096515,0.19999999999999945599,0.90909090909089884658,-69.85038580702203603323,0.03704630157547619124,0.01663166430423864556,0.00042564233142825642,0.00000000000000000000,0.00000000000000000000,0.03514279213703089266,0.00001018015360031157,0.19906665939680748267,0.10062059476225564125,0.87033768252832099943,0.00618649333905823846,0.00000000000000000000,0,,,
3,-69.85829682161129028373,0.01639999999999993546,0.01639999999999983832,0.03669180957250418179,0.19999999999999945599,0.90909090909089884658,-69.85861475512457730019,0.03702381708435414226,0.01624548158270411671,0.00040459405805786969,0.01654295567822714613,0.00032583208885580219,0.03498395193585403934,0.00001071618820575680,0.19316648981543596553,0.09830469855208233410,0.86685180461550537245,0.00651928096534561217,0.00000000000000000000,0,,,
4,-69.83531513663247380919,0.02459999999999993442,0.01639999999999983832,0.03674177826269593022,0.19999999999999945599,0.90909090909089884658,-69.83433063751479608072,0.03714478401378797090,0.02464151097364714743,0.00062010097766766975,0.01611251416739017603,0.00031730436427414082,0.03524181411763614019,0.00001029346435763958,0.20089992134488046660,0.10067676118427040799,0.87191878628767549575,0.00622720673402562316,0.00000000000000000000,0,,,
5,-69.81234847815329658260,0.03279999999999987093,0.01639999999999983832,0.03679177906349295063,0.19999999999999945599,0.90909090909089884658,-69.81242267813907176333,0.03756603958274871979,0.03256951351676154460,0.00083176465434694081,0.01626199540436869956,0.00032101553237378738,0.03521713406858685558,0.00001074891233545342,0.19953332777630627959,0.10148733200217406603,0.87020511573007519601,0.00656377268799957728,0.00000000000000000000,0,,,
6,-69.78939683149691575181,0.04099999999999987682,0.01639999999999983832,0.03684181195499621614,0.19999999999999945599,0.90909090909089884658,-69.78969836303468810002,0.03690573106188651392,0.04079404739991979861,0.00102342876324566464,0.01680575221663008212,0.00033327950779380718,0.03523598358092626393,0.00001085045247042839,0.19916655268667785017,0.10073402427851470275,0.86955471313055265892,0.00657045805669136986,0.00000000000000000000,0,,,
7,-69.76646018200563048595,0.04919999999999986884,0.01639999999999983832,0.03689187691728195578,0.19999999999999945599,0.90909090909089884658,-69.76585974423734626271,0.03676232051749216828,0.04912108905656644570,0.00123695885752207833,0.01602322615113280918,0.00032352967462812102,0.03537620924626372343,0.00001027550256879283,0.20092162274474387185,0.10046497637269453940,0.87184296330542909725,0.00622975044008957420,0.00000000000000000000,0,,,
8,-69.77318238520125248670,0.04919999999999986884,0.03279999999999967664,0.03687719731983186283,0.19999999999999945599,0.90909090909089884658,-69.77260116893192787302,0.03692869028402324949,0.04918541355243339491,0.00123963215585346431,0.03285355606658010852,0.00065995498462264961,0.03534595907831763334,0.00000996414591222619,0.19849827876684467132,0.09968189420066024542,0.87143636671953550454,0.00602356252302543773,0.00000000000000000000,0,,,
9,-69.75027358908023700224,0.05739999999999987473,0.03279999999999967664,0.03692724720339170263,0.19999999999999945599,0.90909090909089884658,-69.74939708108249192264,0.03690215383485876549,0.05755033637140401920,0.00144119298766439536,0.03295103625542269293,0.00066871595131643021,0.03535192101481646199,0.00001040780258063967,0.19846656531544887292,0.10049716248329632062,0.87034312915680633882,0.00626563105636638879,0.00000000000000000000,0,,,
10,-69.72737974268343918993,0.06559999999999974185,0.03279999999999967664,0.03697732907529963087,0.19999999999999945599,0.90909090909089884658,-69.72812396909311871696,0.03695870964612811560,0.06519611647430223478,0.00163764841105394220,0.03252981888685202438,0.00064793469703804476,0.03531384600971181759,0.00001161785046094617,0.19959772812518974949,0.10178501737369478886,0.86838662610808114994,0.00701381813946275277,0.00000000000000000000,0,,,
11,-69.70450083143764175020,0.07379999999999974081,0.03279999999999967664,0.03702744291561066436,0.19999999999999945599,0.90909090909089884658,-69.70450017199996750605,0.03720041754049212279,0.07347944428480698842,0.00186405696850861879,0.03249309345015147926,0.00064484868849311772,0.03554688315153130274,0.00000995735122547510,0.20149474640050824004,0.10121749195262043364,0.87275367454599472872,0.00593974116586642922,0.00000000000000000000,0,,,
12,-69.68163684078871256133,0.08199999999999975364,0.03279999999999967664,0.03707758870435548526,0.19999999999999945599,0.90909090909089884658,-69.68138744756045355189,0.03732723382012655133,0.08193568236302947727,0.00207810121172924498,0.03264240126462352592,0.00065589345224233207,0.03546349891277086191,0.00001064583722133922,0.19803333046692947472,0.10062153865408055009,0.86952450934274372329,0.00633822160890262429,0.00000000000000000000,0,,,
13,-69.68840152913708152482,0.08199999999999975364,0.04919999999999968149,0.03706274551210368001,0.19999999999999945599,0.90909090909089884658,-69.68769540963994302274,0.03706667876669565709,0.08206460032653779824,0.00205849456898373005,0.04894308678172410582,0.00099215819787928168,0.03546852770056446724,0.00001113558351224679,0.19983333326689448062,0.10130346357421113335,0.87011718184004049892,0.00668524564945643333,0.00000000000000000000,0,,,
14,-69.66556522889571567703,0.09019999999999975260,0.04919999999999968149,0.03711287601375774792,0.19999999999999945599,0.90909090909089884658,-69.66551888230657141321,0.03707580449179471299,0.09002499754357289052,0.00225337424824695581,0.04886164772608106444,0.00097818972734176708,0.03551010403524389181,0.00001079364998893474,0.19771747005091735994,0.09990269380038339919,0.86978041945958262104,0.00633658481909212413,0.00000000000000000000,0,,,
15,-69.64274380215802295879,0.09839999999999973768,0.04919999999999968149,0.03716303838161000989,0.19999999999999945599,0.90909090909089884658,-69.64154564137349723296,0.03742251173816845550,0.09858908378654256122,0.00247917675522333876,0.04932806825357111818,0.00098202802384985658,0.03567846494730456813,0.00001055180891040209,0.20357208028001697042,0.10367521510203611679,0.87268000154810188018,0.00620730037806776960,0.00000000000000000000,0,,,
16,-69.61993723445358739355,0.10659999999999975051,0.04919999999999968149,0.03721323259567067832,0.19999999999999945599,0.90909090909089884658,-69.61891620643974931681,0.03730179780486906488,0.10672899462210296007,0.00268007092646749831,0.04901422973220478235,0.00098649890002228450,0.03568101730597162541,0.00001082996241004271,0.20262343734965695963,0.10309140783608958247,0.87173518558020590685,0.00646273220133656689,0.00000000000000000000,0,,,
