# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 2000, 'nu': 82, 'N_nmda': 10, 'nu_nmda': 10}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
N,v_steady,g_e_steady,g_i_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_e_mean,g_e_var,g_i_mean,g_i_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
1,-69.87462719276942380020,0.00819999999999996773,0.00000000000000000000,0.03665634209091486739,0.19999999999999945599,0.90909090909089884658,-69.87364510778084536469,0.03671504172343748734,0.00828333280721855504,0.00020931325838873999,0.00000000000000000000,0.00000000000000000000,0.03514926625289305911,0.00001058233446462352,0.20239999996940641336,0.10252697431539822825,0.87183334044904514659,0.00648905711789766592,0.00000000000000000000,0,,,
2,-69.85161749017801469108,0.01639999999999993546,0.00000000000000000000,0.03670632565009096515,0.19999999999999945599,0.90909090909089884658,-69.85032808615515875772,0.03697394657987387173,0.01652159932461262637,0.00041534682700354201,0.00000000000000000000,0.00000000000000000000,0.03527589399390286540,0.00000938249129511633,0.20273181179444435540,0.10211283706336367338,0.87363148757913244857,0.00573255530471253761,0.00000000000000000000,0,,,
3,-69.82862284713533540526,0.02459999999999993442,0.00000000000000000000,0.03675634138260204520,0.19999999999999945599,0.90909090909089884658,-69.82703542015246966912,0.03686426085403640696,0.02488995535857907102,0.00062692987099116485,0.00000000000000000000,0.00000000000000000000,0.03526538525072016317,0.00001016076642745033,0.20149651247835584367,0.10197701193407163189,0.87230626745730621696,0.00619090702309658351,0.00000000000000000000,0,,,
4,-69.80564324891783201110,0.03279999999999987093,0.00000000000000000000,0.03680638926852164428,0.19999999999999945599,0.90909090909089884658,-69.80496831646337341226,0.03720325047924430417,0.03281968947470383091,0.00082710854437748863,0.00000000000000000000,0.00000000000000000000,0.03527017688033204368,0.00001039387633074557,0.20081471292942079665,0.10136326533205715361,0.87110447815826874685,0.00628361733072778025,0.00000000000000000000,0,,,
5,-69.81234847815329658260,0.03279999999999987093,0.01639999999999983832,0.03679177906349295063,0.19999999999999945599,0.90909090909089884658,-69.81187456646991051912,0.03709954293497006589,0.03270149434807036876,0.00082333159806243980,0.01618985799153477290,0.00032275088187199818,0.03526280503699542879,0.00001037078032121442,0.19950540926539786502,0.10014014788010619506,0.87133789183411081147,0.00630250315372236393,0.00000000000000000000,0,,,
6,-69.78939683149691575181,0.04099999999999987682,0.01639999999999983832,0.03684181195499621614,0.19999999999999945599,0.90909090909089884658,-69.79121702361914003632,0.03714246054408539693,0.04009728268614033697,0.00100919101092279261,0.01649091860740847446,0.00032495498172671595,0.03533384261363319012,0.00000989738182782382,0.20086611506383295067,0.10068287011374567330,0.87201372614067729216,0.00602032783992683708,0.00000000000000000000,0,,,
7,-69.76646018200563048595,0.04919999999999986884,0.01639999999999983832,0.03689187691728195578,0.19999999999999945599,0.90909090909089884658,-69.76711068317872843636,0.03712758136764366529,0.04875362928356520575,0.00122745268415462181,0.01639172403345113757,0.00032449237611562558,0.03533759520735542392,0.00001034633668666626,0.19946666588352574001,0.10092803388190355052,0.87091351289367169297,0.00630433310738669726,0.00000000000000000000,0,,,
8,-69.74353851504091039715,0.05739999999999987473,0.01639999999999983832,0.03694197393040194594,0.19999999999999945599,0.90909090909089884658,-69.74268466848432979077,0.03722465048753463568,0.05751798071963455661,0.00146244676040260574,0.01637329388422556140,0.00032697134319601231,0.03536695219088641789,0.00001020588752582801,0.19903328453693144851,0.10143343252355530026,0.87029110593049985312,0.00612413727765035408,0.00000000000000000000,0,,,
9,-69.72063181598331027544,0.06559999999999974185,0.01639999999999983832,0.03699210297438346173,0.19999999999999945599,0.90909090909089884658,-69.72027780321920431561,0.03696994399077456472,0.06537832524749728758,0.00165217262364335542,0.01668783005885296489,0.00033382019480444804,0.03562797616048700433,0.00000936856503760744,0.20629981893625604084,0.10371509956070586178,0.87564112210895861388,0.00564316025201923744,0.00000000000000000000,0,,,
10,-69.72737974268343918993,0.06559999999999974185,0.03279999999999967664,0.03697732907529963087,0.19999999999999945599,0.90909090909089884658,-69.72802267801850462092,0.03710456345457428806,0.06542742285223245025,0.00164808232030294556,0.03282269685389831854,0.00063825208904499985,0.03516148556083780602,0.00001152657924753792,0.19018422339211737970,0.09674362309002801363,0.86459299941133482825,0.00695306590822096157,0.00000000000000000000,0,,,
