# in_testing: False
# method: euler
# panel: Control_no_firing
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: 100
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 2000, 'nu': 82, 'N_nmda': 10, 'nu_nmda': 10}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
N,v_steady,g_e_steady,g_i_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_e_mean,g_e_var,g_i_mean,g_i_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
1,-69.87462719276942380020,0.00819999999999996773,0.00000000000000000000,0.03665634209091486739,0.19999999999999945599,0.90909090909089884658,-69.87396480208003879397,0.03675008005488791807,0.00823491721759390428,0.00020763166046130994,0.00000000000000000000,0.00000000000000000000,0.03508445078743793744,0.00001050843430433392,0.19816656520173189793,0.10044104656489862004,0.87023644921874954150,0.00645768201849300939,0.00000000000000000000,0,,,
2,-69.85161749017801469108,0.01639999999999993546,0.00000000000000000000,0.03670632565009096515,0.19999999999999945599,0.90909090909089884658,-69.85117692165866287723,0.03697146574849551753,0.01631877764778589743,0.00041050919918566908,0.00000000000000000000,0.00000000000000000000,0.03517249290574406273,0.00001008480151787592,0.19943333210565794555,0.10052454342363538464,0.87113277680191480989,0.00615692713451459952,0.00000000000000000000,0,,,
3,-69.82862284713533540526,0.02459999999999993442,0.00000000000000000000,0.03675634138260204520,0.19999999999999945599,0.90909090909089884658,-69.82792157110391428887,0.03697752199806322165,0.02474169112665174086,0.00062239746062291417,0.00000000000000000000,0.00000000000000000000,0.03510010837898426550,0.00001049403828927550,0.19393198087930377249,0.09811820212568601873,0.86813334858073876177,0.00639399046454418828,0.00000000000000000000,0,,,
4,-69.80564324891783201110,0.03279999999999987093,0.00000000000000000000,0.03680638926852164428,0.19999999999999945599,0.90909090909089884658,-69.80416898935338565479,0.03667958903534195708,0.03310641682895593824,0.00082340685118206206,0.00000000000000000000,0.00000000000000000000,0.03525742173925346806,0.00001017790317815996,0.19984965811833108051,0.10102036190432955864,0.87091913101330753477,0.00619281499578078036,0.00000000000000000000,0,,,
5,-69.81234847815329658260,0.03279999999999987093,0.01639999999999983832,0.03679177906349295063,0.19999999999999945599,0.90909090909089884658,-69.81188776812706464625,0.03688375889137360947,0.03268177980518734149,0.00082498325154862215,0.01604283471225564570,0.00031544617430265037,0.03526091427922510568,0.00001064934096531439,0.20246666656344708413,0.10259325257656952413,0.87137368975324402953,0.00649566396100806527,0.00000000000000000000,0,,,
6,-69.78939683149691575181,0.04099999999999987682,0.01639999999999983832,0.03684181195499621614,0.19999999999999945599,0.90909090909089884658,-69.78777213763935094448,0.03698842436115818560,0.04140683428266508925,0.00102404382062423293,0.01677567349477754668,0.00033077033116170172,0.03531033957329642037,0.00001044494808322665,0.20082798781254557197,0.10122998661282586741,0.87119485593607981500,0.00621731083427723083,0.00000000000000000000,0,,,
7,-69.76646018200563048595,0.04919999999999986884,0.01639999999999983832,0.03689187691728195578,0.19999999999999945599,0.90909090909089884658,-69.76571362781398022435,0.03674721475326374331,0.04928028231087529243,0.00125186584863662344,0.01639049416618297908,0.00033130225852885263,0.03531354887468707987,0.00001042559201555195,0.19712297095452860352,0.09892977629285043539,0.87035899076799327911,0.00630593534946910506,0.00000000000000000000,0,,,
8,-69.74353851504091039715,0.05739999999999987473,0.01639999999999983832,0.03694197393040194594,0.19999999999999945599,0.90909090909089884658,-69.74313021272573109854,0.03717737565413479356,0.05742460408041272918,0.00143985259945719301,0.01653423418808419934,0.00033317699429612061,0.03532790803469921387,0.00001184157597980975,0.20226657966209640738,0.10331914258759104797,0.86931252642189016377,0.00706335278066733390,0.00000000000000000000,0,,,
9,-69.72063181598331027544,0.06559999999999974185,0.01639999999999983832,0.03699210297438346173,0.19999999999999945599,0.90909090909089884658,-69.71928427691760532525,0.03662576945816961582,0.06586468278286224109,0.00166336295755500365,0.01665589009974707824,0.00032859735529739749,0.03549030062574819872,0.00001057540243621026,0.20065773115309362695,0.10111693194626820980,0.87229374751422961154,0.00636712282594711562,0.00000000000000000000,0,,,
10,-69.72737974268343918993,0.06559999999999974185,0.03279999999999967664,0.03697732907529963087,0.19999999999999945599,0.90909090909089884658,-69.72715768321475593439,0.03736254605524105127,0.06534063404336765135,0.00167000061282635264,0.03241253286623037994,0.00064329210422077281,0.03550848082672725115,0.00000975593816611584,0.20336608641193421043,0.10340557162069562158,0.87304620561181589533,0.00590996543417429427,0.00000000000000000000,0,,,
