# in_testing: False
# method: euler
# panel: Control
# simulation_clock: 0.05000000000000000278
# C: 0.00050000000000000001
# E_leak: -70
# theta: -50
# v_reset: -55
# g_L: 0.00000002500000000000
# g_ampa: 0.00000000005000000000
# g_gaba: 0.00000000004000000000
# g_nmda: 0.00000000090000000000
# tau_ampa_ms: 2
# tau_gaba_ms: 5
# tau_nmda_rise: 2
# tau_nmda_decay: 100
# up_state: {'N': 0, 'nu': 0, 'N_nmda': 1, 'nu_nmda': 1}
# down_state: {'N_E': 100, 'gamma': 4, 'nu': 10, 'N_nmda': 10, 'nu_nmda': 2}
# smoothened_rate_width: 10
# pannel: scan_nu_nmda
N,v_steady,g_nmda_steady,x_nmda_steady,s_nmda_steady,v_mean,v_var,g_nmda_mean,g_nmda_var,x_nmda_mean,x_nmda_var,s_nmda_mean,s_nmda_var,corr_coef_x_s,i_nmda_mean,i_nmda_var,mean_rate,num_spikes,mean_isi,std_isi,cv_isi
1,-69.98980771578079895789,0.00364064910035802975,0.00199999999999999137,0.09090754229019275268,-69.96679921926632061968,0.01500249531611148879,0.00264443168264899510,0.00002715567302207770,0.00210526315789473463,0.00106152389634980079,0.06595221244545722283,0.01688062858601276084,0.14602419094969701363,-0.00018502937980208805,0.00000013292695152718,0.00000000000000000000,0,,,
2,-69.98130674984503230007,0.00667795734079731224,0.00399999999999998274,0.16666562064331835735,-69.95457252495857858321,0.01457258612761269841,0.00704389826351219106,0.00005921887478709030,0.00631578947368420344,0.00315797889126546863,0.17559303067540932286,0.03676138108044882391,0.14901706376217641048,-0.00049280200729871944,0.00000028978017235026,0.00000000000000000000,0,,,
3,-69.97410852946713077927,0.00925038280025924399,0.00599999999999998278,0.23076869718341577742,-69.95931246397327640807,0.01480705966163379898,0.00532462871440820499,0.00004017818628853751,0.00421052631578946925,0.00211418352677162366,0.13272855755711016057,0.02491646791104411632,0.13210505581405759812,-0.00037251523687323974,0.00000019655924486097,0.00000000000000000000,0,,,
4,-69.96793493515153272710,0.01145706083836859485,0.00799999999999996547,0.28571404234238845232,-69.95392725281811863169,0.01472355853570852732,0.00744778326538762282,0.00008297764750882381,0.00842105263157893850,0.00419291004790355460,0.18556890686547486413,0.05145166318978797171,0.18472833259064116995,-0.00052099585339249882,0.00000040592934892142,0.00000000000000000000,0,,,
5,-69.96258172856236967618,0.01337081749887196816,0.00999999999999996551,0.33333322873911752637,-69.95600449655678687577,0.01480447582174831446,0.00685127128449699013,0.00008240713305832087,0.00842105261994376825,0.00419290999334980853,0.17071266801418455428,0.05111937149024509131,0.17921228888791895795,-0.00047927234764437329,0.00000040317931275049,0.00000000000000000000,0,,,
6,-69.95789556632450967300,0.01504634881854154116,0.01199999999999996556,0.37499995665599927808,-69.95069267981061500450,0.01438721704145758985,0.00841755862514897805,0.00006555508335622036,0.00842105263157893850,0.00461466931217653035,0.20981814927007991223,0.04067276178557851368,0.17476591339275054926,-0.00058889319327500044,0.00000032074380329871,0.00000000000000000000,0,,,
7,-69.95375908053088664929,0.01652553097010730013,0.01399999999999996560,0.41176468835186541551,-69.92932480286599172814,0.01476354820085960286,0.01629806005453562912,0.00008646292870618708,0.02518282344643867771,0.01257092901391376055,0.40516065218738750442,0.05329521430205923227,0.21233770946832036808,-0.00113946812253596036,0.00000042235209330501,0.00000000000000000000,0,,,
8,-69.95008091361125934782,0.01784096822283560979,0.01599999999999993094,0.44444443747516476639,-69.93614104046871204901,0.01439929837933822537,0.01408542351878980595,0.00007225683642908365,0.01894349285800175919,0.00925002435100942717,0.35053289486380967421,0.04462674689104034059,0.17909774914856121941,-0.00098503298104832206,0.00000035313732484408,0.00000000000000000000,0,,,
9,-69.94678889105374253177,0.01901842456922746977,0.01799999999999993272,0.47368420779064862591,-69.93472025132744818166,0.01603655855430080254,0.01413450878271726475,0.00006872353062004314,0.01473686148822378993,0.00724467361534029356,0.35144734359606966123,0.04242071835311918976,0.15769847781077586668,-0.00098825049929657498,0.00000033580571729339,0.00000000000000000000,0,,,
10,-69.94382523728471312552,0.02007852823487618274,0.01999999999999993103,0.49999999893652607996,-69.94056094009194168848,0.01406126479539255951,0.01226910881605838485,0.00006713852346074709,0.01263157894736840862,0.00623617938939489448,0.30563368469952739703,0.04158653575092586402,0.13262776729881717297,-0.00085821979028020598,0.00000032836021542800,0.00000000000000000000,0,,,
11,-69.94114315534460502022,0.02103799067110779034,0.02199999999999993280,0.52380952339923414485,-69.93458239372978368920,0.01433973249260290725,0.01471815984600746870,0.00010585345296138501,0.02315789466062426541,0.01353524248544930517,0.36625808270503645847,0.06531957058251165738,0.20089140315785850022,-0.00102926928150613413,0.00000051723150835864,0.00000000000000000000,0,,,
12,-69.93870433735553149290,0.02191049406729513385,0.02399999999999993111,0.54545454529721537629,-69.91672818081056561823,0.01497187813458430994,0.02063305627949894860,0.00005444520655478135,0.02947368184026971649,0.01413867049679740084,0.51309809693359087479,0.03380859657202136409,0.16736392485504703043,-0.00144266552439803052,0.00000026643562184845,0.00000000000000000000,0,,,
13,-69.93647712307239316942,0.02270734799190437039,0.02599999999999993289,0.56521739124431435997,-69.93188070282926105392,0.01385030689050533587,0.01553387136327933141,0.00011895154744265733,0.02315590142288593417,0.01119352607272827704,0.38672070114514034422,0.07364763581199409992,0.17722583493411256383,-0.00108642554624341988,0.00000058170484795637,0.00000000000000000000,0,,,
14,-69.93443511784485622229,0.02343798232138289556,0.02799999999999993119,0.58333333331051961945,-69.92049203896644371525,0.01518533041767320367,0.01932434983566836892,0.00003578302310381750,0.02299090038561082960,0.01119852143846804607,0.48022017773705583110,0.02174972313763226181,0.13607624475425547650,-0.00135092856899551319,0.00000017416859229385,0.00000000000000000000,0,,,
15,-69.93255614163011557594,0.02411032217815161499,0.02999999999999993297,0.59999999999135944506,-69.91577143326495047404,0.01414180881314298747,0.02125747850307304482,0.00006033136059526731,0.03157894736842102590,0.01501617700508060815,0.52828604030420334148,0.03703916705680632138,0.15088013766904456725,-0.00148609386826339279,0.00000029441141124343,0.00000000000000000000,0,,,
16,-69.93082142005124524076,0.02473107656493463841,0.03199999999999986189,0.61538461538135169615,-69.90795628527615690473,0.01491968254960029938,0.02352197505459829169,0.00005581804739694250,0.03789473795113180304,0.01777114745056079456,0.58443683931729861758,0.03449611882285297249,0.18747124054494540557,-0.00164431701297454457,0.00000027283147873566,0.00000000000000000000,0,,,
